Número Pedido;Data Pedido;Data Desejo Entrega;Nome Produto;Valor Venda;Tipo Pagamento;Nome Cliente;Cidade;Estado;Urgente
28;01/08/2009 16:24;01/08/2009 16:24;Shuriken;1200;Visa;jennifer;Phoenix                     ;AZ;True
29;01/09/2009 06:39;01/09/2009 06:39;Shuriken;1200;Mastercard;Anneli;Houston                     ;TX;True
30;01/07/2009 07:44;01/07/2009 07:44;Shuriken;1200;Mastercard;Marie;Ball Ground                 ;GA;True
31;01/03/2009 13:24;01/03/2009 13:24;Shuriken;1200;Visa;Mehmet Fatih;Helsingor;Frederiksborg;True
32;01/07/2009 20:15;01/07/2009 20:15;Shuriken;1200;Amex;Nicole;Houston                     ;TX;True
33;01/09/2009 15:58;01/09/2009 15:58;Shuriken;1200;Mastercard;Sari;Newbury;England;True
34;01/03/2009 13:11;01/03/2009 13:11;Shuriken;1200;Mastercard;simone;Kobenhavn;Kobenhavn;True
35;01/10/2009 12:57;01/10/2009 12:57;Shuriken;1200;Amex;Vanessa;Sandy Springs               ;GA;True
36;01/10/2009 14:43;01/10/2009 14:43;Shuriken;1200;Diners;Anupam;Kinsaley;Dublin;True
37;01/10/2009 12:05;01/10/2009 12:05;Shuriken;1200;Visa;Karina;Fort Lauderdale             ;FL;True
38;01/06/2009 01:20;01/06/2009 01:20;Shuriken;1200;Mastercard;Frank;Melbourne;Victoria;True
39;01/10/2009 14:56;01/10/2009 14:56;Shuriken;1200;Visa;Angela;Ankeny                      ;IA;True
40;01/07/2009 10:01;01/07/2009 10:01;Shuriken;1200;Visa;Darren;Pittsboro                   ;NC;True
41;01/01/2009 01:26;01/01/2009 01:26;Shuriken;1200;Mastercard;Nikki;New Rochelle                ;NY;True
42;01/11/2009 02:04;01/11/2009 02:04;Shuriken;1200;Visa;chris;Gold Coast;Queensland;True
43;01/11/2009 14:17;01/11/2009 14:17;Shuriken;1200;Visa;Stephanie;Brussels;Brussels (Bruxelles);True
44;01/10/2009 21:38;01/10/2009 21:38;Shuriken;1200;Visa;Anushka;Maple Ridge District Municipality;British Columbia;True
45;01/07/2009 06:18;01/07/2009 06:18;Shuriken;1200;Mastercard;June ;Beachwood                   ;OH;True
46;01/05/2009 00:31;01/05/2009 00:31;Shuriken;1200;Mastercard;Bonnie;Saltsjobaden;Stockholm;True
47;01/02/2009 06:07;01/02/2009 06:07;Shuriken;1200;Visa;Cindy ;Kemble;England;True
48;01/12/2009 03:25;01/12/2009 03:25;Shuriken;1200;Mastercard;chrissy;W Lebanon                   ;NH;True
49;01/04/2009 13:56;01/04/2009 13:56;Shuriken;1200;Mastercard;Tamar;Headley;England;True
50;01/12/2009 05:18;01/12/2009 05:18;Shuriken;1200;Mastercard;Bernadett;Southampton;England;True
51;01/08/2009 15:16;01/08/2009 15:16;Shuriken;1200;Visa;Dottie;Woodsboro                   ;MD;True
52;01/11/2009 11:33;01/11/2009 11:33;Shuriken;1200;Visa;Stefan;Stavanger;Rogaland;True
53;01/07/2009 20:22;01/07/2009 20:22;Shuriken;1200;Visa;Gina;Red Deer;Alberta;True
54;01/02/2009 22:00;01/02/2009 22:00;Shuriken;1200;Diners;Lynne;Memphis                     ;TN;True
55;01/05/2009 13:52;01/05/2009 13:52;Shuriken;1200;Mastercard;Tammy;Morges;Vaud;True
56;01/08/2009 20:32;01/08/2009 20:32;Shuriken;1200;Visa;Kim;Calgary;Alberta;True
57;01/08/2009 13:34;01/08/2009 13:34;Shuriken;1200;Visa;Bruce;Belleville;Ontario;True
58;01/11/2009 13:08;01/11/2009 13:08;Shuriken;1200;Visa;Rosa Maria;Cincinnati                  ;OH;True
59;01/12/2009 19:04;01/12/2009 19:04;Shuriken;1000;Visa;Lydia;Comox;British Columbia;True
60;01/12/2009 13:41;01/12/2009 13:41;Shuriken;1200;Visa;Eric;Gasperich;Luxembourg;True
61;01/11/2009 10:38;01/11/2009 10:38;Shuriken;1200;Mastercard;AnaPaula;Helens Bay;Northern Ireland;True
62;01/11/2009 10:38;01/11/2009 10:38;Shuriken;1200;Visa;Robin;Milan;Lombardy;True
63;01/11/2009 10:38;01/11/2009 10:38;Shuriken;1200;Visa;Gitte;Staten Island               ;NY;True
64;01/08/2009 13:14;01/08/2009 13:14;Shuriken;1200;Visa;Dr. Claudia;Oslo;Oslo;True
65;01/02/2009 11:41;01/02/2009 11:41;Shuriken;1200;Visa;Crystal;Farmington;Michigan;True
66;01/07/2009 19:50;01/07/2009 19:50;Shuriken;1200;Diners;Delphine;Santa Monica                ;CA;True
67;01/01/2009 20:28;01/01/2009 20:28;Shuriken;1200;Visa;nathalie;Calgary;Alberta;True
68;01/03/2009 15:22;01/03/2009 15:22;Shuriken;1200;Mastercard;Lindi;Vancouver;British Columbia;True
69;01/11/2009 10:38;01/11/2009 10:38;Shuriken;1200;Mastercard;Kevin;Cheltenham;England;True
70;01/03/2009 15:22;01/03/2009 15:22;Shuriken;1200;Visa;Clare;Keller                      ;VA;True
71;01/02/2009 12:18;01/02/2009 12:18;Shuriken;1200;Visa;Alice;Nakskov;Storstrom;True
72;01/03/2009 15:22;01/03/2009 15:22;Shuriken;1200;Mastercard;ZENA;Honolulu                    ;HI;True
73;01/06/2009 17:15;01/06/2009 17:15;Shuriken;1200;Visa;Andrea;Bubuieci;Chisinau;True
74;01/03/2009 13:56;01/03/2009 13:56;Shuriken;1200;Visa;Rennae;Amelia Island               ;FL;True
75;01/04/2009 07:54;01/04/2009 07:54;Shuriken;1200;Visa;Gerhard;Alliston;Ontario;True
76;01/12/2009 07:28;01/12/2009 07:28;Shuriken;1200;Amex;Megan;La Alberca;Murcia;True
77;01/06/2009 15:15;01/06/2009 15:15;Shuriken;1200;Mastercard;Danielle;Rathgar;Dublin;True
78;01/03/2009 15:22;01/03/2009 15:22;Shuriken;1200;Mastercard;Tod;Coral Gables                ;FL;True
79;01/03/2009 15:22;01/03/2009 15:22;Shuriken;1200;Visa;Janaina;Miami                       ;FL;True
80;01/06/2009 21:13;01/06/2009 21:13;Shuriken;1200;Visa;Kofi;Vancouver;British Columbia;True
81;01/06/2014 20:48;01/06/2014 20:48;Shuriken;1200;Visa;Jennifer;Jumeira;Dubayy;True
82;01/12/2013 19:48;01/12/2013 19:48;Shuriken;1200;Visa;Jolene ;Englewood                   ;CO;True
83;01/06/2013 18:48;01/06/2013 18:48;Shuriken;1200;Mastercard;anne;Bournemouth;England;True
84;01/12/2012 17:48;01/12/2012 17:48;Shuriken;1200;Mastercard;Alexis;Genoa                       ;IL;True
85;01/06/2012 16:48;01/06/2012 16:48;Shuriken;1200;Visa;Dez;Al 'Adliyah;Al Manamah;True
86;01/12/2011 15:48;01/12/2011 15:48;Shuriken;1200;Visa;Stephanie;Rouen;Upper Normandy;True
87;01/06/2011 14:48;01/06/2011 14:48;Shuriken;1200;Visa;Melissa ;Parkland                    ;FL;True
88;01/12/2010 13:48;01/12/2010 13:48;Shuriken;1200;Amex;CLARE;San Francisco               ;CA;True
89;01/06/2010 12:48;01/06/2010 12:48;Shuriken;1200;Mastercard;catherine;Keller                      ;VA;True
90;01/12/2009 11:48;01/12/2009 11:48;Shuriken;1200;Visa;Veronique ;Tsawwassen;British Columbia;True
91;01/06/2009 10:48;01/06/2009 10:48;Shuriken;1200;Mastercard;Bruce and Camille;Clinton                     ;NJ;True
92;01/06/2009 10:48;01/06/2009 10:48;Shuriken;1200;Mastercard;Ellen;Owensboro                   ;KY;True
93;01/06/2009 10:48;01/06/2009 10:48;Shuriken;1200;Visa;Amy;Lakewood Village            ;TX;True
94;01/06/2009 07:23;01/06/2009 07:23;Shuriken;1200;Visa;Anna;Okotoks;Alberta;True
95;01/01/2009 05:04;01/01/2009 05:04;Shuriken;1200;Mastercard;Regina;Glimmen;Groningen;True
96;01/02/2009 06:17;01/02/2009 06:17;Shuriken;1200;Visa;Heidi;Calgary;Alberta;True
97;01/02/2009 04:53;01/02/2009 04:53;Shuriken;1200;Visa;Jessica;Kanata;Ontario;True
98;01/02/2009 13:08;01/02/2009 13:08;Shuriken;1200;Diners;Petra;Bergen;Nordrhein-Westfalen;True
99;01/03/2009 14:44;01/03/2009 14:44;Shuriken;1200;Visa;Brian;College Park                ;MD;True
100;01/04/2009 20:11;01/04/2009 20:11;Shuriken;1200;Visa;Kenny;Kailua Kona                 ;HI;True
101;01/02/2009 20:09;01/02/2009 20:09;Shuriken;1200;Amex;ayse;Redondo Beach               ;CA;True
102;01/04/2009 13:17;01/04/2009 13:17;Shuriken;1200;Amex;Maria and Timothy;Fountain Hls                ;AZ;True
103;01/04/2009 14:11;01/04/2009 14:11;Shuriken;1200;Visa;IMAN;Brisbane;Queensland;True
104;01/05/2009 02:42;01/05/2009 02:42;Shuriken;2100;Mastercard;Gerald;Mahopac                     ;NY;True
105;01/02/2009 09:16;01/02/2009 09:16;Katana;1200;Mastercard;Annelies;Ile-Perrot;Quebec;True
106;01/02/2009 14:18;01/02/2009 14:18;Katana;1200;Amex;Jocelyn;Bruxelles;Brussels (Bruxelles);True
107;01/04/2009 01:05;01/04/2009 01:05;Katana;1200;Visa;Kara;Chicago                     ;IL;True
108;01/05/2009 11:37;01/05/2009 11:37;Katana;1200;Visa;Orsi;Rayford                     ;TX;True
109;01/02/2009 07:35;01/02/2009 07:35;Katana;1200;Visa;Ben;Escondido                   ;CA;True
110;01/06/2009 12:56;01/06/2009 12:56;Katana;1200;Visa;Sam;Tesvikiye;Istanbul;True
111;01/01/2009 11:05;01/01/2009 11:05;Katana;1200;Visa;Filip and Teresa;Centurion;Gauteng;True
112;01/05/2009 04:10;01/05/2009 04:10;Katana;1200;Visa;Grace ;York;England;True
113;01/06/2009 07:18;01/06/2009 07:18;Katana;1200;Visa;Chelsey ;Ashburn                     ;VA;True
114;01/02/2009 01:11;01/02/2009 01:11;Katana;1200;Amex;Charis;Los Angeles                 ;CA;True
115;01/01/2009 02:24;01/01/2009 02:24;Katana;1200;Visa;Marlene;Edgewood                    ;WA;True
116;01/07/2009 08:08;01/07/2009 08:08;Katana;1200;Visa;Fie;New York                    ;NY;True
117;01/02/2009 02:57;01/02/2009 02:57;Katana;1200;Diners;Nicole ;Basingstoke;England;True
118;01/01/2009 20:21;01/01/2009 20:21;Katana;1200;Diners;Linda;Den Haag;Zuid-Holland;True
119;01/08/2009 00:42;01/08/2009 00:42;Katana;1200;Visa;Janet;Marietta                    ;GA;True
120;01/08/2009 03:56;01/08/2009 03:56;Katana;1200;Mastercard;Jamie;Houston                     ;TX;True
121;01/08/2009 03:16;01/08/2009 03:16;Katana;1200;Visa;Chad;West Orange                 ;NJ;True
122;01/08/2009 01:59;01/08/2009 01:59;Katana;1200;Mastercard;sunny;Amsterdam;Noord-Holland;True
123;01/03/2009 09:03;01/03/2009 09:03;Katana;1200;Visa;Anna;Downey                      ;CA;True
124;01/05/2009 13:17;01/05/2009 13:17;Katana;1200;Diners;Roger;Urlingford;Kilkenny;True
125;01/06/2009 07:46;01/06/2009 07:46;Katana;1200;Mastercard;Si;Holte;Kobenhavn;True
126;01/08/2009 16:24;01/08/2009 16:24;Katana;1200;Visa;Sherri;Freienbach;Schwyz;True
127;01/09/2009 06:39;01/09/2009 06:39;Katana;1200;Mastercard;Katherine;Hofheim am Taunus;Hessen;True
128;01/07/2009 07:44;01/07/2009 07:44;Katana;1200;Mastercard;Clare;Lafayette                   ;CA;True
129;01/03/2009 13:24;01/03/2009 13:24;Katana;1200;Amex;Campbell;Mushrif;;True
130;01/07/2009 20:15;01/07/2009 20:15;Katana;1200;Visa;Ruth;Nashville                   ;AR;True
131;01/09/2009 15:58;01/09/2009 15:58;Katana;1200;Visa;Doug;Bishop Auckland;England;True
132;01/03/2009 13:11;01/03/2009 13:11;Katana;1200;Visa;Shailesh;Joppa;MD;True
133;01/10/2009 12:57;01/10/2009 12:57;Katana;1200;Visa;Conrad;Joppa;MD;True
134;01/10/2009 14:43;01/10/2009 14:43;Katana;1200;Diners;Alison;Hampton                     ;NJ;True
135;01/10/2009 12:05;01/10/2009 12:05;Katana;1200;Mastercard;Tracy;Louisville                  ;KY;True
136;01/06/2009 01:20;01/06/2009 01:20;Katana;1200;Visa;Kate;Broadlands                  ;VA;True
137;01/10/2009 14:56;01/10/2009 14:56;Katana;1200;Diners;Sarka;Yellowknife;Northwest Territories;True
138;01/07/2009 10:01;01/07/2009 10:01;Katana;1200;Visa;Klara;Spring Lake Park            ;MN;True
139;01/01/2009 01:26;01/01/2009 01:26;Katana;1200;Mastercard;Andrew;Winnipeg;Manitoba;True
140;01/11/2009 02:04;01/11/2009 02:04;Katana;1200;Visa;Vicki and Bill;Seattle                     ;WA;True
141;01/11/2009 14:17;01/11/2009 14:17;Katana;1200;Mastercard;David;Deptford                    ;NJ;True
142;01/10/2009 21:38;01/10/2009 21:38;Katana;1200;Mastercard;Antonella;Amsterdam;Noord-Holland;True
143;01/07/2009 06:18;01/07/2009 06:18;Katana;1200;Visa;David;Alpharetta                  ;GA;True
144;01/05/2009 00:31;01/05/2009 00:31;Katana;1200;Visa;Greg;Washington                  ;DC;True
145;01/02/2009 06:07;01/02/2009 06:07;Katana;1200;Visa;Jannik ;Holmenkollen;Oslo;True
146;01/12/2009 03:25;01/12/2009 03:25;Katana;1200;Visa;Sylvia;Zekeriyakoy;Istanbul;True
147;01/04/2009 13:56;01/04/2009 13:56;Katana;1200;Amex;Bernadette;Washington                  ;DC;True
148;01/12/2009 05:18;01/12/2009 05:18;Katana;1200;Diners;Denise;Montreal;Quebec;True
149;01/08/2009 15:16;01/08/2009 15:16;Katana;1200;Visa;luciana;Athens                      ;GA;True
150;01/11/2009 11:33;01/11/2009 11:33;Katana;1200;Diners;Maja;Hoschton                    ;GA;True
151;01/07/2009 20:22;01/07/2009 20:22;Katana;1200;Visa;Kirstie;Royal Oak                   ;MI;True
152;01/02/2009 22:00;01/02/2009 22:00;Katana;1200;Visa;Scott ;Royal Oak                   ;MI;True
153;01/05/2009 13:52;01/05/2009 13:52;Katana;1200;Mastercard;Jammie;Belmont                     ;MA;True
154;01/08/2009 20:32;01/08/2009 20:32;Katana;1200;Mastercard;Frank;Old Greenwich               ;CT;True
155;01/08/2009 13:34;01/08/2009 13:34;Katana;1200;Mastercard;scott;Coconut Grove               ;FL;True
156;01/11/2009 13:08;01/11/2009 13:08;Katana;1200;Visa;Jiri;Vienna                      ;VA;True
157;01/12/2009 19:04;01/12/2009 19:04;Katana;1200;Visa;Dave and Amy;Norfolk                     ;VA;True
158;01/12/2009 13:41;01/12/2009 13:41;Katana;1200;Mastercard;Rebecca;Norfolk                     ;VA;True
159;01/11/2009 10:38;01/11/2009 10:38;Katana;1200;Visa;Melissa;Aberdeen;Scotland;True
160;01/11/2009 10:38;01/11/2009 10:38;Katana;1200;Amex;jeremy;Charlestown;New South Wales;True
161;01/11/2009 10:38;01/11/2009 10:38;Katana;1200;Visa;Randy;Wigan;England;True
162;01/08/2009 13:14;01/08/2009 13:14;Katana;1200;Visa;Djeiny;Rockville                   ;MD;True
163;01/02/2009 11:41;01/02/2009 11:41;Katana;1200;Mastercard;Andrea ;Shreveport                  ;LA;True
164;01/07/2009 19:50;01/07/2009 19:50;Katana;1200;Amex;Joanna;Little Silver               ;NJ;True
165;01/01/2009 20:28;01/01/2009 20:28;Katana;1200;Visa;Jessica;Abbey Town;England;True
166;01/03/2009 15:22;01/03/2009 15:22;Katana;1200;Amex;alison;Mid City West               ;PA;True
167;01/11/2009 10:38;01/11/2009 10:38;Katana;1200;Visa;malin;Atlanta;Georgia;True
168;01/03/2009 15:22;01/03/2009 15:22;Katana;1200;Visa;Genevieve;Milton Keynes;England;True
169;01/02/2009 12:18;01/02/2009 12:18;Katana;1200;Mastercard;Saraya;Dresden;Saxony;True
170;01/03/2009 15:22;01/03/2009 15:22;Katana;1200;Mastercard;Anastasia;NYC                         ;NY;True
171;01/06/2009 17:15;01/06/2009 17:15;Katana;1200;Visa;Elizabeth;The Grange;Queensland;True
172;01/03/2009 13:56;01/03/2009 13:56;Katana;1200;Visa;Nicole;Brookline                   ;MA;True
173;01/04/2009 07:54;01/04/2009 07:54;Katana;1200;Visa;Jeffrey;Montreal-Nord;Quebec;True
174;01/12/2009 07:28;01/12/2009 07:28;Katana;1200;Mastercard;Blanca Gabriela ;Irving                      ;TX;True
175;01/06/2009 15:15;01/06/2009 15:15;Katana;1200;Amex;Elisa;Ottawa Hills                ;OH;True
176;01/03/2009 15:22;01/03/2009 15:22;Katana;1200;Visa;Bob;Sydney;New South Wales;True
177;01/03/2009 15:22;01/03/2009 15:22;Katana;1200;Visa;Elizabeth;Wollongong;New South Wales;True
178;01/06/2009 21:13;01/06/2009 21:13;Katana;1200;Amex;Cathy;Brooklyn                    ;NY;True
179;01/06/2014 20:48;01/06/2014 20:48;Katana;1200;Visa;suzanne;Lemont                      ;IL;True
180;01/12/2013 19:48;01/12/2013 19:48;Katana;1200;Mastercard;Cassandra;San Carlos                  ;CA;True
181;01/06/2013 18:48;01/06/2013 18:48;Katana;1200;Mastercard;Jennifer;Chicago                     ;IL;True
182;01/12/2012 17:48;01/12/2012 17:48;Katana;1200;Visa;nicole;Oslo;Oslo;True
183;01/06/2012 16:48;01/06/2012 16:48;Katana;1200;Visa;Sean;Wantagh;NY;True
184;01/12/2011 15:48;01/12/2011 15:48;Katana;1200;Mastercard;Morgan;Coomera;Queensland;True
185;01/06/2011 14:48;01/06/2011 14:48;Katana;1200;Diners;Harriet;Fort Oglethorpe             ;GA;True
186;01/12/2010 13:48;01/12/2010 13:48;Katana;1200;Mastercard;Janine;Corbin City                 ;NJ;True
187;01/06/2010 12:48;01/06/2010 12:48;Katana;1200;Mastercard;Debora;Lakeside                    ;CA;True
188;01/12/2009 11:48;01/12/2009 11:48;Katana;1200;Visa;Vishpala;Margate                     ;FL;True
189;01/06/2009 10:48;01/06/2009 10:48;Katana;1200;Amex;Emer;South Palm Beach            ;FL;True
190;01/06/2009 10:48;01/06/2009 10:48;Katana;1200;Diners;john;New York                    ;NY;True
191;01/06/2009 10:48;01/06/2009 10:48;Katana;1200;Mastercard;lailani;Anchorage                   ;AK;True
192;01/06/2009 07:23;01/06/2009 07:23;Katana;1200;Visa;Tricia;Castricum;Noord-Holland;True
193;01/01/2009 05:04;01/01/2009 05:04;Katana;1200;Visa;Celina;North Brunswick             ;NJ;True
194;01/02/2009 06:17;01/02/2009 06:17;Katana;1200;Visa;Patrick;Baytown                     ;TX;True
195;01/02/2009 04:53;01/02/2009 04:53;Katana;790;Mastercard;Jacob;Winter Haven                ;FL;True
196;01/02/2009 13:08;01/02/2009 13:08;Katana;820;Visa;elisabeth;Gonzaga Univ                ;WA;True
197;01/03/2009 14:44;01/03/2009 14:44;Katana;850;Visa;Kevin ;London;England;True
198;01/04/2009 20:11;01/04/2009 20:11;Katana;880;Mastercard;Liban;Stavanger;Rogaland;True
199;01/02/2009 20:09;01/02/2009 20:09;Katana;910;Visa;Georgina;Portland                    ;OR;True
200;01/04/2009 13:17;01/04/2009 13:17;Katana;940;Diners;Kellie;Staten Island               ;NY;True
201;01/04/2009 14:11;01/04/2009 14:11;Katana;970;Mastercard;Terry;San Antonio                 ;TX;True
202;01/05/2009 02:42;01/05/2009 02:42;Katana;1000;Visa;frauke;Horten;Vestfold;True
203;01/02/2009 09:16;01/02/2009 09:16;Katana;1030;Visa;Simone;San Antonio                 ;TX;True
204;01/02/2009 14:18;01/02/2009 14:18;Katana;1060;Visa;Hilde ;Princeville                 ;HI;True
205;01/04/2009 01:05;01/04/2009 01:05;Katana;1090;Visa;Leah;Castleknock;Dublin;True
206;01/05/2009 11:37;01/05/2009 11:37;Katana;1120;Visa;Laine;Castleknock;Dublin;True
207;01/02/2009 07:35;01/02/2009 07:35;Katana;1150;Visa;kirsten;Bishops Stortford;England;True
208;01/06/2009 12:56;01/06/2009 12:56;Katana;1180;Mastercard;Anna;Lafayette                   ;CA;True
209;01/01/2009 11:05;01/01/2009 11:05;Katana;1210;Diners;Babs;Blackpool;England;True
210;01/05/2009 04:10;01/05/2009 04:10;Katana;1240;Mastercard;Gerlinde;Hellerup;Kobenhavn;True
211;01/06/2009 07:18;01/06/2009 07:18;Katana;1270;Mastercard;Hollyn;London;England;True
212;01/02/2009 01:11;01/02/2009 01:11;Katana;1300;Visa;leiser;N Java                      ;NY;True
213;01/01/2009 02:24;01/01/2009 02:24;Katana;1330;Amex;Lisa;Brulon;Pays de la Loire;True
214;01/07/2009 08:08;01/07/2009 08:08;Katana;1200;Visa;Ann;Austin                      ;TX;True
215;01/02/2009 02:57;01/02/2009 02:57;Katana;1200;Mastercard;Nichol Jane;Midland Park                ;NJ;True
216;01/01/2009 20:21;01/01/2009 20:21;Katana;1200;Amex;Beatriz;Centerport                  ;NY;True
217;01/08/2009 00:42;01/08/2009 00:42;Katana;1200;Mastercard;corina;Neustift am Walde;Vienna;True
218;01/08/2009 03:56;01/08/2009 03:56;Katana;1200;Mastercard;manon;Neustift am Walde;Vienna;True
219;01/08/2009 03:16;01/08/2009 03:16;Katana;1200;Diners;Isabelle;Shorewood                   ;MN;True
220;01/08/2009 01:59;01/08/2009 01:59;Katana;1200;Visa;Lynne;Southlake                   ;TX;True
221;01/03/2009 09:03;01/03/2009 09:03;Katana;1200;Mastercard;Doug;Huntington                  ;NY;True
222;01/05/2009 13:17;01/05/2009 13:17;Katana;1200;Mastercard;AMY;The Woodlands               ;TX;True
223;01/06/2009 07:46;01/06/2009 07:46;Katana;1200;Visa;Kim;Kelowna;British Columbia;True
224;01/08/2009 16:24;01/08/2009 16:24;Katana;1200;Mastercard;HELIDA;White House                 ;TN;True
225;01/09/2009 06:39;01/09/2009 06:39;Katana;1200;Visa;Cameron;Rungsted;Frederiksborg;True
226;01/07/2009 07:44;01/07/2009 07:44;Katana;1200;Mastercard;Wendy;Lake Mahopac                ;NY;True
227;01/03/2009 13:24;01/03/2009 13:24;Katana;1200;Mastercard;Tara;Killiney;Dublin;True
228;01/07/2009 20:15;01/07/2009 20:15;Katana;1200;Amex;James;Guer;Brittany;True
229;01/09/2009 15:58;01/09/2009 15:58;Katana;800;Amex;Heloise ;Arlington                   ;VA;True
230;01/03/2009 13:11;01/03/2009 13:11;Katana;1200;Mastercard;Gabriel;Three Hills;Alberta;True
231;01/10/2009 12:57;01/10/2009 12:57;Katana;1200;Visa;Jodie ;Great Falls;Virginia;True
232;01/10/2009 14:43;01/10/2009 14:43;Katana;1200;Amex;Jeremy;London;England;True
233;01/10/2009 12:05;01/10/2009 12:05;Katana;1200;Visa;Helga;Clontarf;Dublin;True
234;01/06/2009 01:20;01/06/2009 01:20;Katana;1200;Visa;Eleanor;Vancouver;British Columbia;True
235;01/10/2009 14:56;01/10/2009 14:56;Katana;1200;Diners;Miss;London;England;True
236;01/07/2009 10:01;01/07/2009 10:01;Katana;1200;Visa;prof;Gladwyne                    ;PA;True
237;01/01/2009 01:26;01/01/2009 01:26;Katana;1200;Mastercard;KeithMichelle;Houston                     ;TX;True
238;01/11/2009 02:04;01/11/2009 02:04;Katana;1200;Visa;Kathryn;Cork;Cork;True
239;01/11/2009 14:17;01/11/2009 14:17;Katana;1200;Diners;Veronique;Tenafly                     ;NJ;True
240;01/10/2009 21:38;01/10/2009 21:38;Katana;1200;Visa;Erica;Leesburg                    ;VA;True
241;01/07/2009 06:18;01/07/2009 06:18;Katana;1200;Visa;L;Alcona;Ontario;True
242;01/05/2009 00:31;01/05/2009 00:31;Katana;1200;Mastercard;Diana;Kuala Lumpur;Kuala Lumpur;True
243;01/02/2009 06:07;01/02/2009 06:07;Katana;1200;Mastercard;Emma;Sydney;New South Wales;True
244;01/12/2009 03:25;01/12/2009 03:25;Katana;1200;Visa;Marina;Nerang;Queensland;True
245;01/04/2009 13:56;01/04/2009 13:56;Katana;1200;Mastercard;Natalie ;Bryceville                  ;FL;True
246;01/12/2009 05:18;01/12/2009 05:18;Katana;1200;Diners;Brenda;Saffron Walden;England;True
247;01/08/2009 15:16;01/08/2009 15:16;Katana;1200;Diners;Nita;Sutton;Dublin;True
248;01/11/2009 11:33;01/11/2009 11:33;Katana;1200;Mastercard;Marian;Durban;KwaZulu-Natal;True
249;01/07/2009 20:22;01/07/2009 20:22;Katana;1200;Visa;Kevin;Berkeswell;England;True
250;01/02/2009 22:00;01/02/2009 22:00;Katana;1200;Visa;cari;Dryden                      ;VA;True
251;01/05/2009 13:52;01/05/2009 13:52;Katana;1200;Visa;Cassandra;Santry;Dublin;True
